series_id,gt_race_id,diff_index,gt_race_name,gt_normalized_name,gt_gender,ticket_position,gt_gender_rank,gt_time,gt_hour,gt_norm,placement_change,ws_series_id,ws_race_id,ws_date,ws_year,ws_rank,ws_status,nationality,ws_gender_rank,age_category,ws_time,ws_hour,ws_norm,delta_norm,delta_norm_pct,ws_race
141,141023,67.1,CCC,dakota jones,M,2,3,10:41:40,10.694444444444400,0.159380692167577,15,17002,108752,6/29/2024,2024,28,Finisher,USA,18,20-34,17:41:07,17.685277777777800,0.227609752609753,0.068229060442175,42.808861923147600,Western States
3753,37543,50.6,The Canyons,ida nilsson,F,1,1,9:51:07,9.851944444444450,0.194702459376372,6,17002,97204,6/24/2023,2023,26,Finisher,SWE,7,40-44,17:43:34,17.726111111111100,0.228135278135278,0.033432818758906,17.171235980269700,Western States
3753,37543,50.6,The Canyons,priscilla forgie,F,2,2,10:00:20,10.005555555555600,0.197738252086078,6,17002,97204,6/24/2023,2023,27,Finisher,CAN,8,20-34,17:46:34,17.776111111111100,0.228778778778779,0.031040526692701,15.697785514554000,Western States
895,89525,35.92,Tarawera,caitlin fielder,F,1,2,8:30:45,8.512500000000000,0.236984966592428,6,17002,119682,6/28/2025,2025,20,Finisher,AND,8,20-34,17:47:26,17.790555555555600,0.228964678964679,-0.008020287627749,-3.384302280043830,Western States
3753,37544,50.6,The Canyons,anna louden,F,1,3,10:24:37,10.410277777777800,0.205736714975845,8,17002,108752,6/29/2024,2024,29,Finisher,USA,11,20-34,17:53:10,17.886111111111100,0.230194480194480,0.024457765218635,11.887895275039400,Western States
3753,73545,50.6,The Canyons,keely henninger,F,2,3,9:58:10,9.969444444444440,0.197024593763724,6,17002,119682,6/28/2025,2025,21,Finisher,USA,9,20-34,17:57:24,17.956666666666700,0.231102531102531,0.034077937338807,17.296286056386400,Western States
10254,115592,5,Black Canyon,joe mcconaughy,M,3,3,7:31:37,7.526944444444450,1.505388888888890,11,17002,119682,6/28/2025,2025,23,Finisher,USA,14,20-34,18:02:34,18.042777777777800,0.232210782210782,-1.273178106678110,-84.574698011609900,Western States
50001,22,25.35,Bandera,marianne hogan,F,1,1,9:17:06,9.285000000000000,0.366272189349112,2,17002,87878,6/25/2022,2022,17,Finisher,CAN,3,20-34,18:05:48,18.096666666666700,0.232904332904333,-0.133367856444780,-36.412225749867100,Western States
10254,93392,5,Black Canyon,meghan morgan,F,2,3,8:53:52,8.897777777777780,1.779555555555560,7,17002,97204,6/24/2023,2023,29,Finisher,USA,10,20-34,18:11:32,18.192222222222200,0.234134134134134,-1.545421421421420,-86.843111843111800,Western States
3753,37543,50.6,The Canyons,adam merry,M,2,2,8:50:40,8.844444444444440,0.174791392182697,18,17002,97204,6/24/2023,2023,30,Finisher,USA,20,20-34,18:28:35,18.476388888888900,0.237791362791363,0.062999970608666,36.042948009028400,Western States
3753,37542,50.6,The Canyons,leah yingling,F,2,2,10:24:50,10.413888888888900,0.205808080808081,4,17002,87878,6/25/2022,2022,21,Finisher,USA,6,20-34,18:32:31,18.541944444444400,0.238635063635064,0.032826982826983,15.950288588325400,Western States
141,141023,67.1,CCC,emily schmitz,F,2,5,12:42:24,12.706666666666700,0.189369100844511,7,17002,108752,6/29/2024,2024,33,Finisher,USA,12,40-44,18:39:55,18.665277777777800,0.240222365222365,0.050853264377855,26.854045433531200,Western States
10254,84317,5,Black Canyon,taylor nowlin,F,3,4,9:44:14,9.737222222222220,1.947444444444440,3,17002,87878,6/25/2022,2022,22,Finisher,USA,7,20-34,18:46:42,18.778333333333300,0.241677391677392,-1.705767052767050,-87.590023819840700,Western States
25273,25073,91.8,Doi Inthanon,jenny quilty,F,1,1,27:24:14,27.403888888888900,0.298517308157831,10,17002,97204,6/24/2023,2023,31,Finisher,CAN,11,20-34,18:49:13,18.820277777777800,0.242217217217217,-0.056300090940614,-18.859908421406200,Western States
12057,81876,31.63,Javelina,camille herron,F,1,1,14:03:23,14.056388888888900,0.444400533951593,7,17002,87878,6/25/2022,2022,23,Finisher,USA,8,40-44,18:51:54,18.865000000000000,0.242792792792793,-0.201607741158800,-45.366223880541200,Western States
50001,22,25.35,Bandera,jonathan rea,M,1,1,8:10:00,8.166666666666670,0.322156476002630,15,17002,87878,6/25/2022,2022,24,Finisher,USA,16,20-34,18:52:20,18.872222222222200,0.242885742885743,-0.079270733116887,-24.606282667507200,Western States
3753,73545,50.6,The Canyons,erin clark,F,3,4,9:59:05,9.984722222222220,0.197326526130874,7,17002,119682,6/28/2025,2025,28,Finisher,USA,11,20-34,18:52:22,18.872777777777800,0.242892892892893,0.045566366762019,23.091860813379800,Western States
10254,104108,5,Black Canyon,lauren puretz,F,3,3,9:06:58,9.116111111111110,1.823222222222220,10,17002,108752,6/29/2024,2024,34,Finisher,USA,13,40-44,18:52:25,18.873611111111100,0.242903617903618,-1.580318604318600,-86.677234681378800,Western States
37038,37338,70.9,Grindstone,lotti brinks,F,1,1,10:37:25,10.623611111111100,0.149839366870396,13,17002,108752,6/29/2024,2024,35,Finisher,USA,14,20-34,18:53:39,18.894166666666700,0.243168168168168,0.093328801297772,62.285902061036100,Western States
3753,37544,50.6,The Canyons,careth arnold,F,2,4,10:38:42,10.645000000000000,0.210375494071146,10,17002,108752,6/29/2024,2024,35,Finisher,USA,14,20-34,18:53:39,18.894166666666700,0.243168168168168,0.032792674097022,15.587687264530900,Western States
37038,37338,70.9,Grindstone,caleb bowen,M,2,2,8:59:29,8.991388888888890,0.126817896881367,21,17002,108752,6/29/2024,2024,38,Finisher,USA,23,20-34,19:02:55,19.048611111111100,0.245155870155870,0.118337973274504,93.313306863308400,Western States
25273,25373,91.8,Doi Inthanon,robert hajnal,M,2,4,26:59:48,26.996666666666700,0.294081336238199,20,17002,108752,6/29/2024,2024,39,Finisher,ROU,24,20-34,19:06:49,19.113611111111100,0.245992420992421,-0.048088915245778,-16.352249979858300,Western States
29669,126002,41.02,Chianti (UTCC),johanna antila,F,2,2,12:53:22,12.889444444444400,0.314223414052766,10,17002,119682,6/28/2025,2025,30,Finisher,FIN,12,45-49,19:13:16,19.221111111111100,0.247375947375947,-0.066847466676818,-21.273865564197900,Western States
142,14221,100,UTMB,camille bruyas,F,2,2,24:09:42,24.161666666666700,0.241616666666667,8,17002,87878,6/25/2022,2022,27,Finisher,FRA,10,20-34,19:34:24,19.573333333333300,0.251909051909052,0.010292385242385,4.259799369132320,Western States
10254,104108,5,Black Canyon,becca windell,F,2,2,8:52:46,8.879444444444450,1.775888888888890,14,17002,108752,6/29/2024,2024,44,Finisher,USA,16,35-39,19:38:41,19.644722222222200,0.252827827827828,-1.523061061061060,-85.763308199646800,Western States
10254,84317,5,Black Canyon,anne-marie madden,F,2,3,9:23:52,9.397777777777780,1.879555555555560,8,17002,87878,6/25/2022,2022,28,Finisher,CAN,11,40-44,19:38:44,19.645555555555600,0.252838552838553,-1.626717002717000,-86.547960655314700,Western States
50001,22,25.35,Bandera,tyler fox,M,2,2,8:14:53,8.248055555555560,0.325367083059391,17,17002,87878,6/25/2022,2022,30,Finisher,USA,19,20-34,19:49:07,19.818611111111100,0.255065780065780,-0.070301302993611,-21.606765605351100,Western States
895,89523,35.92,Tarawera,stephanie auston,F,2,2,9:27:29,9.458055555555560,0.263308896312794,11,17002,97204,6/24/2023,2023,37,Finisher,AUS,13,20-34,19:58:08,19.968888888888900,0.256999856999857,-0.006309039312937,-2.396060065301500,Western States
895,89525,35.92,Tarawera,adrian macdonald,M,2,3,7:51:05,7.851388888888890,0.218579868844345,19,17002,119682,6/28/2025,2025,35,Finisher,USA,22,35-39,20:14:25,20.240277777777800,0.260492635492635,0.041912766648290,19.175035134702600,Western States
895,89525,35.92,Tarawera,nancy jiang,F,2,5,9:10:13,9.170277777777780,0.255297265528335,9,17002,119682,6/28/2025,2025,36,Finisher,NZL,14,20-34,20:17:24,20.290000000000000,0.261132561132561,0.005835295604227,2.285686684559840,Western States
3753,37542,50.6,The Canyons,aroa sio seijo,F,3,3,10:27:41,10.461388888888900,0.206746815985946,9,17002,87878,6/25/2022,2022,32,Finisher,ESP,12,40-44,20:18:27,20.307500000000000,0.261357786357786,0.054610970371840,26.414419061985500,Western States
32444,23444,41.42,Nice Cote d Azur,giulia vinco,F,2,3,15:28:58,15.482777777777800,0.373799560062235,16,17002,108752,6/29/2024,2024,51,Finisher,ITA,19,20-34,20:46:40,20.777777777777800,0.267410267410267,-0.106389292651968,-28.461588513976500,Western States
12057,90708,31.63,Javelina,riley brady,F,2,2,14:45:43,14.761944444444400,0.466707064320090,12,17002,97204,6/24/2023,2023,43,Finisher,USA,14,20-34,20:59:02,20.983888888888900,0.270062920062920,-0.196644144257170,-42.134383490347600,Western States
50001,22,25.35,Bandera,ellie pell,F,2,2,9:49:12,9.820000000000000,0.387376725838264,12,17002,87878,6/25/2022,2022,39,Finisher,USA,14,20-34,21:37:12,21.620000000000000,0.278249678249678,-0.109127047588586,-28.170780614772500,Western States
12057,99186,31.63,Javelina,ragna debats,F,2,2,14:55:27,14.924166666666700,0.471835809885130,19,17002,108752,6/29/2024,2024,63,Finisher,ESP,21,45-49,22:00:58,22.016111111111100,0.283347633347633,-0.188488176537497,-39.947831976420900,Western States
