gt_race_id,gt_race_name,gt_normalized_name,gt_gender,ticket_position,gt_time,ws_series_id,ws_race_id,ws_date,ws_year,ws_rank,ws_status,nationality,ws_gender_rank,age_category,ws_time,ws_race
25073,Doi Inthanon,jiaju zhao,M,1,0.91237268518518500,17002,97204,2023-06-24,2023,,DNF,CHN,,20-34,,Western States
25073,Doi Inthanon,canhua luo,M,2,0.92487268518518500,17002,97204,2023-06-24,2023,23,Finisher,CHN,19,20-34,0.7244675925925930,Western States
25073,Doi Inthanon,jenny quilty,F,1,1.14182870370370000,17002,97204,2023-06-24,2023,31,Finisher,CAN,11,20-34,0.7841782407407410,Western States
25073,Doi Inthanon,wenfei xie,F,2,1.18209490740741000,17002,97204,2023-06-24,2023,101,Finisher,CHN,22,40-44,0.9907291666666670,Western States
23,Bandera,nicole bitter,F,2,0.41947916666666700,17002,97204,2023-06-24,2023,,DNF,USA,,40-44,,Western States
23,Bandera,jeffrey colt,M,1,0.34993055555555600,17002,97204,2023-06-24,2023,9,Finisher,USA,8,20-34,0.6542708333333330,Western States
23,Bandera,jp giblin,M,2,0.35356481481481500,17002,97204,2023-06-24,2023,21,Finisher,USA,18,20-34,0.7187731481481480,Western States
23,Bandera,courtney dauwalter,F,1,0.37473379629629600,17002,97204,2023-06-24,2023,6,Finisher,USA,1,35-39,0.6455208333333330,Western States
89523,Tarawera,daniel jones,M,1,0.31105324074074100,17002,97204,2023-06-24,2023,5,Finisher,NZL,5,20-34,0.6404513888888890,Western States
89523,Tarawera,ryan montgomery,M,2,0.34121527777777800,17002,97204,2023-06-24,2023,8,Finisher,USA,7,20-34,0.6517939814814810,Western States
89523,Tarawera,nancy jiang,F,1,0.39314814814814800,17002,97204,2023-06-24,2023,110,Finisher,NZL,23,20-34,0.9981712962962960,Western States
89523,Tarawera,stephanie auston,F,2,0.39408564814814800,17002,97204,2023-06-24,2023,37,Finisher,AUS,13,20-34,0.8320370370370370,Western States
93392,Black Canyon,anthony costales,M,1,0.31446759259259300,17002,97204,2023-06-24,2023,3,Finisher,USA,3,20-34,0.6314351851851850,Western States
104108,Black Canyon,hayden hawks,M,1,0.31270833333333300,17002,108752,2024-06-29,2024,3,Finisher,USA,3,20-34,0.6003587962962960,Western States
141023,CCC,jonathan albon,M,1,0.42667824074074100,17002,108752,2024-06-29,2024,6,Finisher,NOR,6,35-39,0.6229282407407410,Western States
141023,CCC,dakota jones,M,2,0.44560185185185200,17002,108752,2024-06-29,2024,28,Finisher,USA,18,20-34,0.7368865740740740,Western States
141023,CCC,yngvild kaspersen,F,1,0.49400462962963000,17002,108752,2024-06-29,2024,20,Finisher,NOR,5,20-34,0.7018402777777780,Western States
141023,CCC,emily schmitz,F,2,0.52944444444444400,17002,108752,2024-06-29,2024,33,Finisher,USA,12,40-44,0.7777199074074070,Western States
37338,Grindstone,lotti brinks,F,1,0.44265046296296300,17002,108752,2024-06-29,2024,35,Finisher,USA,14,20-34,0.7872569444444440,Western States
37338,Grindstone,caleb olson,M,1,0.37133101851851900,17002,108752,2024-06-29,2024,5,Finisher,USA,5,20-34,0.6112500000000000,Western States
37338,Grindstone,caleb bowen,M,2,0.37464120370370400,17002,108752,2024-06-29,2024,38,Finisher,USA,23,20-34,0.7936921296296300,Western States
23444,Nice Cote d Azur,jim walmsley,M,1,0.47297453703703700,17002,108752,2024-06-29,2024,1,Finisher,USA,1,20-34,0.5928819444444440,Western States
