Race_ID,Series_ID,Race_Date,Race_Name,Actual_Dist,Diff_Index,Gender,Ticket_Position,Name,Nationality,Age_Category,Gender_Rank,WS_Date,WS_Year,WS_ID,WS_Finisher_Flag,WS_DNF_Flag,WS_DNS_Flag,GT_Finish_Time,GT_Pace,WS_Finish_Time,WS_Pace,WS_Gender_Rank,Num_WS_Finish,Days_to_WS
37539,3753,4/27/2019,The Canyons,61.7,41.5,F,2,kim magnus,CAN,35-39,2,6/29/2019,2019,61359,TRUE,FALSE,FALSE,0.474456019,11:04,0.913993056,13:10,18,0,63
37541,3753,4/24/2021,The Canyons,61.7,41.5,M,1,anthony costales,USA,20-34,1,6/26/2021,2021,79446,FALSE,FALSE,TRUE,0.383101852,8:56,,,,0,63
37541,3753,4/24/2021,The Canyons,61.7,41.5,M,2,max king,USA,40-44,2,6/26/2021,2021,79446,FALSE,TRUE,FALSE,0.391111111,9:07,,,,0,63
37541,3753,4/24/2021,The Canyons,61.7,41.5,F,1,abby hall,USA,20-34,2,6/26/2021,2021,79446,TRUE,FALSE,FALSE,0.440729167,10:17,0.924768519,13:19,14,0,63
37541,3753,4/24/2021,The Canyons,61.7,41.5,F,2,emily hawgood,USA,20-34,4,6/26/2021,2021,79446,TRUE,FALSE,FALSE,0.442523148,10:19,0.801331019,11:32,7,0,63
37542,3753,4/23/2022,The Canyons,61.7,41.5,M,1,adam peterman,USA,20-34,1,6/25/2022,2022,87878,TRUE,FALSE,FALSE,0.355520833,8:17,0.634583333,9:08,1,0,63
37542,3753,4/23/2022,The Canyons,61.7,41.5,F,1,jazmine lowther,CAN,20-34,1,6/25/2022,2022,87878,FALSE,FALSE,TRUE,0.417986111,9:45,,,,0,63
37542,3753,4/23/2022,The Canyons,61.7,41.5,F,2,leah yingling,USA,20-34,2,6/25/2022,2022,87878,TRUE,FALSE,FALSE,0.433912037,10:07,0.772581019,11:08,6,0,63
37542,3753,4/23/2022,The Canyons,61.7,41.5,M,2,jared hazen,USA,20-34,3,6/25/2022,2022,87878,FALSE,TRUE,FALSE,0.366354167,8:33,,,,3,63
37542,3753,4/23/2022,The Canyons,61.7,41.5,F,3,aroa sio seijo,ESP,40-44,3,6/25/2022,2022,87878,TRUE,FALSE,FALSE,0.435891204,10:10,0.846145833,12:11,12,0,63
37542,3753,4/23/2022,The Canyons,61.7,41.5,M,3,rod farvard,USA,20-34,4,6/25/2022,2022,87878,TRUE,FALSE,FALSE,0.386354167,9:01,0.950590278,13:41,41,0,63
37543,3753,4/28/2023,The Canyons,61.7,41.5,M,1,cole watson,USA,20-34,1,6/24/2023,2023,97204,TRUE,FALSE,FALSE,0.357384259,8:20,0.662916667,9:33,9,1,57
37543,3753,4/28/2023,The Canyons,61.7,41.5,F,1,ida nilsson,SWE,40-44,1,6/24/2023,2023,97204,TRUE,FALSE,FALSE,0.410497685,9:34,0.738587963,10:38,7,0,57
37543,3753,4/28/2023,The Canyons,61.7,41.5,M,2,adam merry,USA,20-34,2,6/24/2023,2023,97204,TRUE,FALSE,FALSE,0.368518519,8:36,0.769849537,11:05,20,0,57
37543,3753,4/28/2023,The Canyons,61.7,41.5,F,2,priscilla forgie,CAN,20-34,2,6/24/2023,2023,97204,TRUE,FALSE,FALSE,0.416898148,9:43,0.740671296,10:40,8,0,57
37544,3753,4/27/2024,The Canyons,61.7,41.5,M,1,rod farvard,USA,20-34,1,6/29/2024,2024,108752,TRUE,FALSE,FALSE,0.364236111,8:30,0.600173611,8:39,2,2,63
37544,3753,4/27/2024,The Canyons,61.7,41.5,M,2,petter engdahl,NOR,20-34,3,6/29/2024,2024,108752,TRUE,FALSE,FALSE,0.371886574,8:40,0.682361111,9:50,13,0,63
37544,3753,4/27/2024,The Canyons,61.7,41.5,F,1,anna louden,USA,20-34,3,6/29/2024,2024,108752,TRUE,FALSE,FALSE,0.433761574,10:07,0.74525463,10:44,11,0,63
37544,3753,4/27/2024,The Canyons,61.7,41.5,F,2,careth arnold,USA,20-34,4,6/29/2024,2024,108752,TRUE,FALSE,FALSE,0.443541667,10:21,0.787256944,11:20,14,0,63
38282,29758,2/4/2017,Sean O'Brien 100K,62,42.1,F,1,emily torrence,USA,20-34,1,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.4140625,9:37,1.059652778,15:16,18,1,140
38282,29758,2/4/2017,Sean O'Brien 100K,62,42.1,M,1,ryan kaiser,USA,35-39,2,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.354178241,8:13,0.90162037,12:59,21,1,140
38282,29758,2/4/2017,Sean O'Brien 100K,62,42.1,F,2,sabrina stanley,USA,20-34,2,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.430497685,9:59,0.841446759,12:07,3,0,140
38292,45236,4/1/2017,Georgia Death Race,74.38,50.5,M,1,avery collins,USA,20-34,1,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.498831019,9:39,0.734155093,10:34,6,0,84
38292,45236,4/1/2017,Georgia Death Race,74.38,50.5,F,1,jacqueline merritt,USA,20-34,2,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.600347222,11:37,0.880127315,12:40,7,0,84
38292,45236,4/1/2017,Georgia Death Race,74.38,50.5,F,2,alondra moody,USA,40-44,3,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.617361111,11:57,1.075543981,15:29,19,0,84
38965,10254,2/18/2017,Black Canyon,62.93,31.4,M,1,alex nichols,USA,20-34,1,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.330219907,7:33,0.700266204,10:05,2,0,126
38965,10254,2/18/2017,Black Canyon,62.93,31.4,F,1,nicole bitter,USA,35-39,1,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.396018519,9:03,0.875601852,12:37,6,1,126
38965,10254,2/18/2017,Black Canyon,62.93,31.4,M,2,elov olsson,SWE,20-34,2,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.332048611,7:35,0.781203704,11:15,13,0,126
38965,10254,2/18/2017,Black Canyon,62.93,31.4,F,2,clare gallagher,USA,20-34,2,6/24/2017,2017,41765,FALSE,TRUE,FALSE,0.403842593,9:14,,,,0,126
43685,50487,4/14/2018,Lake Sonoma 50M,50.49,30.5,F,1,camelia mayfield,USA,20-34,3,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.323553241,9:13,0.824270833,11:52,7,0,70
43685,50487,4/14/2018,Lake Sonoma 50M,50.49,30.5,M,1,eric senseman,USA,20-34,4,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.273310185,7:47,0.958773148,13:48,57,0,70
46885,29758,2/3/2018,Sean O'Brien 100K,62,42.1,M,1,florian neuschwander,DEU,35-39,1,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.366712963,8:31,0.848657407,12:13,25,0,140
46885,29758,2/3/2018,Sean O'Brien 100K,62,42.1,F,1,courtney dauwalter,USA,20-34,1,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.401585648,9:19,0.727083333,10:28,1,0,140
46885,29758,2/3/2018,Sean O'Brien 100K,62,42.1,M,2,charlie ware,USA,20-34,2,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.379791667,8:49,0.707835648,10:12,8,1,140
46885,29758,2/3/2018,Sean O'Brien 100K,62,42.1,F,2,kate elliott,USA,20-34,2,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.427199074,9:55,0.836550926,12:03,10,0,140
48278,10254,2/17/2018,Black Canyon,62.93,31.4,M,1,tim freriks,USA,20-34,1,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.341736111,7:49,0.754490741,10:52,13,0,126
48278,10254,2/17/2018,Black Canyon,62.93,31.4,F,1,ailsa macdonald,CAN,35-39,1,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.370520833,8:28,0.874375,12:35,13,0,126
48278,10254,2/17/2018,Black Canyon,62.93,31.4,M,2,juan moran,USA,35-39,2,6/23/2018,2018,51243,FALSE,TRUE,FALSE,0.370543981,8:28,,,,0,126
48278,10254,2/17/2018,Black Canyon,62.93,31.4,F,2,paige pattillo,USA,20-34,3,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.423368056,9:41,0.874502315,12:36,14,0,126
48295,45236,3/31/2018,Georgia Death Race,74.38,50.5,F,1,aliza lapierre,USA,35-39,1,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.563530093,10:54,0.832141204,11:59,8,3,84
48295,45236,3/31/2018,Georgia Death Race,74.38,50.5,M,1,bob shebest,USA,40-44,2,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.516331019,9:59,1.070011574,15:24,113,1,84
48295,45236,3/31/2018,Georgia Death Race,74.38,50.5,F,2,jasmine chiaramonte,USA,40-44,2,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.634282407,12:16,0.89037037,12:49,15,0,84
56933,45236,3/30/2019,Georgia Death Race,74.38,50.5,M,1,morgan elliott,USA,20-34,1,6/29/2019,2019,61359,FALSE,TRUE,FALSE,0.523715278,10:08,,,,0,91
56933,45236,3/30/2019,Georgia Death Race,74.38,50.5,F,1,luzia buehler,CHE,35-39,1,6/29/2019,2019,61359,TRUE,FALSE,FALSE,0.612696759,11:51,0.84931713,12:14,11,1,91
56933,45236,3/30/2019,Georgia Death Race,74.38,50.5,M,2,shaun pope,USA,20-34,2,6/29/2019,2019,61359,FALSE,TRUE,FALSE,0.571631944,11:04,,,,1,91
56933,45236,3/30/2019,Georgia Death Race,74.38,50.5,F,2,liz canty,USA,20-34,2,6/29/2019,2019,61359,TRUE,FALSE,FALSE,0.612905093,11:51,0.872094907,12:33,13,0,91
57573,50487,4/13/2019,Lake Sonoma 50M,50.49,30.5,M,1,jared hazen,USA,20-34,1,6/29/2019,2019,61359,TRUE,FALSE,FALSE,0.255914352,7:17,0.601921296,8:40,2,2,77
